"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"1.5k";"RESISTOR1/4W";"RESISTOR-1/4W";"R40";"Standard resistor";"";
"5";"100k";"RESISTOR1/4W";"RESISTOR-1/4W";"R11, R12, R17, R31, R45";"Standard resistor";"";
"1";"100k";"RESISTOR1/4W-VERTICAL";"RESISTOR-1/4W(VERTICAL)";"R44";"Standard resistor";"";
"5";"100n";"C5/2.5";"C5B2.5";"C5, C13, C14, C15, C16";"CAPACITOR";"";
"1";"10K";"RESISTOR1/4W";"RESISTOR-1/4W";"R29";"Standard resistor";"";
"11";"10k";"POT";"POT-9MM";"P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11";"9mm Vertical Snap-In Potentiometers, Alpha/Panasonic Style.";"";
"4";"10k";"RESISTOR1/4W";"RESISTOR-1/4W";"R7, R8, R38, R46";"Standard resistor";"";
"4";"10uf";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"C11, C12, C17, C18";"Capacitor Polarized";"";
"1";"150k";"RESISTOR1/4W";"RESISTOR-1/4W";"R36";"Standard resistor";"";
"2";"15K";"RESISTOR1/4W";"RESISTOR-1/4W";"R26, R27";"Standard resistor";"";
"3";"15k";"RESISTOR1/4W";"RESISTOR-1/4W";"R13, R14, R39";"Standard resistor";"";
"1";"15k";"RESISTOR1/4W-VERTICAL";"RESISTOR-1/4W(VERTICAL)";"R22";"Standard resistor";"";
"2";"1n";"C5/2.5";"C5B2.5";"C3, C4";"CAPACITOR";"";
"3";"220p";"C5/2.5";"C5B2.5";"C7, C8, C10";"CAPACITOR";"";
"4";"30K";"RESISTOR1/4W";"RESISTOR-1/4W";"R23, R24, R25, R28";"Standard resistor";"";
"10";"30k";"RESISTOR1/4W";"RESISTOR-1/4W";"R3, R5, R15, R16, R20, R32, R33, R34, R47, R48";"Standard resistor";"";
"1";"30k";"RESISTOR1/4W-VERTICAL";"RESISTOR-1/4W(VERTICAL)";"R19";"Standard resistor";"";
"1";"4021N";"4021N";"DIL16";"U6";"8-bit static SHIFT REGISTER";"";
"1";"470k";"RESISTOR1/4W";"RESISTOR-1/4W";"R50";"Standard resistor";"";
"4";"510";"RESISTOR1/4W";"RESISTOR-1/4W";"R9, R10, R37, R49";"Standard resistor";"";
"8";"51k";"RESISTOR1/4W";"RESISTOR-1/4W";"R1, R2, R4, R6, R30, R41, R42, R43";"Standard resistor";"";
"1";"51k";"RESISTOR1/4W-VERTICAL";"RESISTOR-1/4W(VERTICAL)";"R35";"Standard resistor";"";
"4";"560p";"C5/2.5";"C5B2.5";"C1, C2, C6, C9";"CAPACITOR";"";
"2";"62k";"RESISTOR1/4W";"RESISTOR-1/4W";"R18, R21";"Standard resistor";"";
"1";"78L09";"78LXXLP";"78LXX";"T2";"VOLTAGE REGULATOR";"";
"1";"79L09";"79LXX";"79LXX";"T3";"VOLTAGE REGULATOR";"";
"6";"914";"1N9ZENER4";"DO35-4";"D1, D2, D3, D4, D5, D6";"1N9???B Zener Diode";"";
"4";"AUDIOJACK_WQP_PJ301M-12";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"CV_1, CV_2, CV_F, EXT.INPUT";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"BC547";"BC547";"TO92";"T1";"NPN TRANSISTOR";"";
"4";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME1, FRAME2, FRAME3, FRAME4";"Schematic Frame";"";
"1";"OUT";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"MAINOUT";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"P1";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"PUL1";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"2";"P2";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"PUL2, TRI1";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"PWM";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"PWM";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"RED STRIPE";"PINHD-2X5";"2X05";"JP1";"PIN HEADER";"";
"1";"RUNCV";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"RUN";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"SPDT-S";"SPDT-S";"SPDT-SUBMINIATURE";"SW1";"SPDT Toggle Switch";"";
"1";"SSM2164P";"SSM2164P";"DIL16";"U5";"";"";
"1";"T2";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"TRI2";"3.5mm Phone Jack PCB Mount Mono Switched";"";
"1";"TL072P";"TL072P";"DIL08";"U2";"Dual Op Amp";"";
"3";"TL074N";"TL074N";"DIL14";"U1, U3, U4";"Quad Op Amp";"";
"1";"XOR";"AUDIOJACK_WQP_PJ301M-12";"WPQ_PJ_301M12";"XOR";"3.5mm Phone Jack PCB Mount Mono Switched";"";
